"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"x42",10249,1709568578.64603,1709568578.64629,1709568578.79031,1709568578.79284,1709568578.79298,1709568578.79765,1709568578.79842,1709568578.79877,1709568578.82565,1709568579.04663
"x43",12099,1709568578.01308,1709568578.01336,1709568578.20466,1709568578.20747,1709568578.20761,1709568578.21347,1709568578.21424,1709568578.21457,1709568578.24564,1709568578.49258
"x44",13199,1709568578.45624,1709568578.45654,1709568578.57386,1709568578.57615,1709568578.57627,1709568578.58142,1709568578.582,1709568578.58229,1709568578.6247,1709568578.835
"x45",10999,1709568578.38712,1709568578.38736,1709568578.46322,1709568578.46457,1709568578.46471,1709568578.46712,1709568578.4675,1709568578.46782,1709568578.4836,1709568578.7067
"x46",18349,1709568579.04575,1709568579.04583,1709568580.94408,1709568580.97309,1709568580.97326,1709568581.0516,1709568581.05248,1709568581.05272,1709568581.26683,1709568581.52091
"x47",10949,1709568571.5935,1709568571.59361,1709568573.19271,1709568573.21993,1709568573.22006,1709568573.29051,1709568573.29119,1709568573.29152,1709568573.42777,1709568573.76714
"x48",10999,1709568571.84115,1709568571.84142,1709568571.97041,1709568571.97277,1709568571.9729,1709568571.97601,1709568571.97655,1709568571.97686,1709568572.00005,1709568572.19851
"x49",10999,1709568572.87867,1709568572.87891,1709568572.9786,1709568572.98041,1709568572.98055,1709568572.98344,1709568572.98393,1709568572.98422,1709568573.00199,1709568573.20986
"x50",18699,1709568572.88213,1709568572.8822,1709568572.95834,1709568572.96365,1709568572.9638,1709568573.09911,1709568573.09987,1709568573.10009,1709568573.13376,1709568573.36387
"x51",10999,1709568572.88758,1709568572.8878,1709568572.92603,1709568572.92719,1709568572.92731,1709568572.92931,1709568572.9298,1709568572.93007,1709568572.94104,1709568573.18643
"x52",29949,1709568573.42771,1709568573.42824,1709568573.95801,1709568573.96324,1709568573.96339,1709568573.98664,1709568573.98809,1709568573.98846,1709568574.04224,1709568574.25501
"x53",12099,1709568573.09759,1709568573.09784,1709568573.16758,1709568573.1686,1709568573.16872,1709568573.17115,1709568573.17167,1709568573.172,1709568573.19635,1709568573.41339
"x54",16499,1709568573.49262,1709568573.49284,1709568573.56606,1709568573.56841,1709568573.56856,1709568573.57831,1709568573.57925,1709568573.57958,1709568573.61638,1709568573.83226
"x55",17399,1709568574.27114,1709568574.27136,1709568574.41453,1709568574.41618,1709568574.41629,1709568574.42042,1709568574.42098,1709568574.42133,1709568574.44301,1709568574.65467
"x56",12099,1709568579.69994,1709568579.70023,1709568579.84327,1709568579.84576,1709568579.84591,1709568579.85205,1709568579.85296,1709568579.85333,1709568579.88071,1709568580.10753
"x57",10999,1709568580.69817,1709568580.6984,1709568580.79888,1709568580.80086,1709568580.80099,1709568580.80453,1709568580.80522,1709568580.80557,1709568580.82602,1709568581.06809
"x58",11749,1709568580.75183,1709568580.7521,1709568580.91488,1709568580.91751,1709568580.91765,1709568580.9224,1709568580.92314,1709568580.92348,1709568580.95737,1709568581.18683
"x59",15399,1709568581.0737,1709568581.07398,1709568581.21203,1709568581.21441,1709568581.21455,1709568581.22691,1709568581.22782,1709568581.22814,1709568581.25278,1709568581.49589
"x60",15399,1709568581.11752,1709568581.11783,1709568581.27992,1709568581.28223,1709568581.28237,1709568581.28731,1709568581.28795,1709568581.28829,1709568581.32366,1709568581.53834
