"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"x159",10999,1709568608.9765,1709568608.97672,1709568609.10907,1709568609.11147,1709568609.11161,1709568609.11542,1709568609.11601,1709568609.11636,1709568609.15599,1709568609.37882
"x160",10999,1709568608.98181,1709568608.98204,1709568609.12575,1709568609.12818,1709568609.12832,1709568609.13166,1709568609.1322,1709568609.13252,1709568609.16315,1709568609.38396
"x161",10499,1709568609.16257,1709568609.16272,1709568609.27086,1709568609.27258,1709568609.27271,1709568609.27549,1709568609.27593,1709568609.27625,1709568609.29831,1709568609.50446
"x162",10149,1709568609.1809,1709568609.18114,1709568609.27967,1709568609.28162,1709568609.28175,1709568609.28722,1709568609.28791,1709568609.28826,1709568609.32456,1709568609.52917
"x163",12499,1709568609.54087,1709568609.54112,1709568609.67805,1709568609.68056,1709568609.6807,1709568609.68587,1709568609.68659,1709568609.68693,1709568609.72738,1709568609.93512
"x164",10949,1709568610.20164,1709568610.2019,1709568610.43382,1709568610.43721,1709568610.43738,1709568610.44292,1709568610.4437,1709568610.44402,1709568610.49037,1709568610.68723
"x165",12849,1709568610.44968,1709568610.44994,1709568610.95969,1709568610.96263,1709568610.96279,1709568610.96751,1709568610.96836,1709568610.96872,1709568611.00933,1709568611.22112
"x166",10999,1709568610.08391,1709568610.08417,1709568610.26139,1709568610.26423,1709568610.26434,1709568610.26985,1709568610.27067,1709568610.27102,1709568610.32391,1709568610.54538
"x167",26749,1709568611.22581,1709568611.22589,1709568611.43219,1709568611.44494,1709568611.44508,1709568611.67414,1709568611.67499,1709568611.67522,1709568611.73458,1709568612.01906
"x168",18049,1709568611.2163,1709568611.21638,1709568611.27971,1709568611.28464,1709568611.28475,1709568611.42356,1709568611.4243,1709568611.42445,1709568611.46215,1709568611.73713
"x169",27399,1709568611.34511,1709568611.34526,1709568611.6488,1709568611.66378,1709568611.66393,1709568611.87197,1709568611.87677,1709568611.87714,1709568611.95272,1709568612.20823
"x170",20899,1709568611.79694,1709568611.79724,1709568614.34777,1709568614.41648,1709568614.41662,1709568614.56548,1709568614.56846,1709568614.56881,1709568614.76014,1709568615.10164
"x171",15899,1709568611.66337,1709568611.66371,1709568614.3338,1709568614.362,1709568614.36216,1709568614.45947,1709568614.46152,1709568614.46179,1709568614.66909,1709568615.07195
"x172",19249,1709568611.55931,1709568611.55967,1709568613.61697,1709568613.65191,1709568613.65204,1709568613.75954,1709568613.76165,1709568613.76202,1709568613.96884,1709568614.33523
"x173",16399,1709568611.77509,1709568611.77548,1709568613.36711,1709568613.38646,1709568613.38661,1709568613.45267,1709568613.45497,1709568613.45534,1709568613.59678,1709568613.976
"x174",34099,1709568611.85594,1709568611.85605,1709568611.99205,1709568612.00441,1709568612.00456,1709568612.48176,1709568612.48277,1709568612.48305,1709568612.54402,1709568612.78603
"x175",12099,1709568611.78174,1709568611.78198,1709568611.8972,1709568611.8996,1709568611.89973,1709568611.90305,1709568611.90366,1709568611.90402,1709568611.9335,1709568612.13337
"x176",26799,1709568614.11578,1709568614.1159,1709568615.09477,1709568615.18338,1709568615.18353,1709568615.48481,1709568615.48604,1709568615.48638,1709568615.62189,1709568615.88376
"x177",30799,1709568614.41865,1709568614.41877,1709568615.32139,1709568615.34765,1709568615.34778,1709568615.75125,1709568615.75234,1709568615.75265,1709568615.85606,1709568616.13101
"x178",34099,1709568614.64332,1709568614.64347,1709568615.92444,1709568616.00043,1709568616.00059,1709568616.35779,1709568616.35954,1709568616.3599,1709568616.54028,1709568616.83299
"x179",22699,1709568614.55913,1709568614.55925,1709568615.4358,1709568615.4861,1709568615.48625,1709568615.69796,1709568615.69956,1709568615.69994,1709568615.85149,1709568616.08172
"x180",38149,1709568614.80509,1709568614.80522,1709568616.10781,1709568616.18067,1709568616.18082,1709568616.70106,1709568616.70311,1709568616.7034,1709568616.89113,1709568617.19937
"x181",18049,1709568615.53068,1709568615.53076,1709568616.13533,1709568616.14802,1709568616.14816,1709568616.27969,1709568616.28106,1709568616.28138,1709568616.35139,1709568616.67161
"x182",66699,1709568617.33746,1709568617.33757,1709568617.80013,1709568617.87049,1709568617.87065,1709568619.11663,1709568619.11926,1709568619.11962,1709568619.25261,1709568619.60061
"x183",10999,1709568615.44332,1709568615.44356,1709568615.52754,1709568615.52913,1709568615.52927,1709568615.53266,1709568615.5332,1709568615.53358,1709568615.55368,1709568615.76895
"x184",10999,1709568615.43713,1709568615.43738,1709568615.49579,1709568615.4973,1709568615.49743,1709568615.49985,1709568615.50038,1709568615.50072,1709568615.51793,1709568615.73355
"x185",32099,1709568616.01476,1709568616.01485,1709568617.37795,1709568617.48564,1709568617.4858,1709568617.86017,1709568617.86189,1709568617.86227,1709568618.07078,1709568618.70151
"x186",10999,1709568616.32548,1709568616.32571,1709568616.40147,1709568616.40325,1709568616.40339,1709568616.40667,1709568616.40733,1709568616.40767,1709568616.4385,1709568616.64325
"x187",14299,1709568616.6221,1709568616.6224,1709568616.73135,1709568616.7338,1709568616.73394,1709568616.74261,1709568616.74371,1709568616.74398,1709568616.77666,1709568617.01116
"x188",17599,1709568616.96063,1709568616.96105,1709568617.39149,1709568617.39545,1709568617.39557,1709568617.40228,1709568617.40308,1709568617.40342,1709568617.46391,1709568617.68623
"x189",13199,1709568617.32974,1709568617.32992,1709568617.41262,1709568617.4142,1709568617.4143,1709568617.41725,1709568617.41801,1709568617.41828,1709568617.4338,1709568617.65721
"x190",10999,1709568617.69505,1709568617.69527,1709568617.76025,1709568617.76193,1709568617.76206,1709568617.76374,1709568617.7643,1709568617.7646,1709568617.80105,1709568618.01687
"x191",13199,1709568618.07866,1709568618.07893,1709568618.24344,1709568618.24535,1709568618.24548,1709568618.24821,1709568618.24872,1709568618.24896,1709568618.28208,1709568618.4908
"x192",23149,1709568619.48247,1709568619.48295,1709568620.44305,1709568620.4501,1709568620.45025,1709568620.4684,1709568620.46952,1709568620.46978,1709568620.56673,1709568620.82977
"x193",12049,1709568619.6188,1709568619.61906,1709568619.6939,1709568619.69551,1709568619.69564,1709568619.69835,1709568619.69891,1709568619.69925,1709568619.73494,1709568619.93578
"x194",26249,1709568619.47793,1709568619.47806,1709568619.86282,1709568619.89263,1709568619.89279,1709568620.18624,1709568620.18735,1709568620.18766,1709568620.27492,1709568620.61784
"x195",11799,1709568621.27941,1709568621.27966,1709568621.35559,1709568621.35733,1709568621.35747,1709568621.36077,1709568621.36136,1709568621.36171,1709568621.37798,1709568621.61125
"x196",13199,1709568621.12219,1709568621.12245,1709568621.2195,1709568621.22141,1709568621.22156,1709568621.22648,1709568621.22709,1709568621.22743,1709568621.25769,1709568621.47537
"x197",13199,1709568621.70883,1709568621.70911,1709568621.79692,1709568621.79839,1709568621.79851,1709568621.80084,1709568621.8013,1709568621.80158,1709568621.8181,1709568622.03447
"x198",14299,1709568621.87143,1709568621.87172,1709568621.96797,1709568621.96943,1709568621.96956,1709568621.97606,1709568621.97682,1709568621.97716,1709568622.01323,1709568622.22984
"x199",15399,1709568622.08866,1709568622.08897,1709568622.22298,1709568622.22534,1709568622.22549,1709568622.22927,1709568622.24367,1709568622.24435,1709568622.27374,1709568622.50472
"x200",10549,1709568622.55786,1709568622.5581,1709568622.67862,1709568622.6812,1709568622.68135,1709568622.68761,1709568622.68852,1709568622.68882,1709568622.71438,1709568622.95979
"x201",10999,1709568623.43837,1709568623.43861,1709568623.51131,1709568623.51316,1709568623.51332,1709568623.51701,1709568623.51776,1709568623.51803,1709568623.53398,1709568623.77335
"x202",10499,1709568623.91021,1709568623.91042,1709568623.97371,1709568623.97536,1709568623.9755,1709568623.97786,1709568623.97846,1709568623.97874,1709568623.9966,1709568624.24584
"x203",10999,1709568624.39837,1709568624.3986,1709568624.47465,1709568624.47641,1709568624.47654,1709568624.47875,1709568624.47938,1709568624.4796,1709568624.49907,1709568624.72563
"x204",10999,1709568624.76585,1709568624.76609,1709568624.82664,1709568624.82809,1709568624.82821,1709568624.83023,1709568624.83071,1709568624.83091,1709568624.85896,1709568625.08691
"x205",17599,1709568624.96576,1709568624.96599,1709568625.06348,1709568625.06533,1709568625.06547,1709568625.06823,1709568625.06879,1709568625.06909,1709568625.09066,1709568625.31029
"x206",13199,1709568624.98232,1709568624.98252,1709568625.08726,1709568625.08887,1709568625.08901,1709568625.09491,1709568625.09544,1709568625.09566,1709568625.11714,1709568625.3178
"x207",10999,1709568624.99657,1709568624.99682,1709568625.34489,1709568625.34959,1709568625.34972,1709568625.35373,1709568625.35426,1709568625.35448,1709568625.4029,1709568625.61996
"x208",17199,1709568626.28682,1709568626.28689,1709568627.31295,1709568627.34178,1709568627.34191,1709568627.46997,1709568627.4708,1709568627.47125,1709568627.61337,1709568628.0075
"x209",34099,1709568625.37748,1709568625.37756,1709568626.76592,1709568626.86008,1709568626.86023,1709568627.23337,1709568627.23472,1709568627.23504,1709568627.41921,1709568628.05259
"x210",17599,1709568625.35599,1709568625.35622,1709568625.55025,1709568625.55295,1709568625.55308,1709568625.57672,1709568625.57764,1709568625.57797,1709568625.6057,1709568625.84439
"x211",12099,1709568626.92346,1709568626.92369,1709568627.00217,1709568627.00389,1709568627.00403,1709568627.00597,1709568627.0065,1709568627.00671,1709568627.03358,1709568627.25963
"x212",10999,1709568628.22637,1709568628.22662,1709568628.32324,1709568628.32492,1709568628.32503,1709568628.32806,1709568628.3285,1709568628.32873,1709568628.36337,1709568628.56048
"x213",12099,1709568628.70947,1709568628.70971,1709568628.75721,1709568628.75842,1709568628.75856,1709568628.76005,1709568628.76058,1709568628.76074,1709568628.7736,1709568629.02903
"x214",10999,1709568628.86604,1709568628.86621,1709568630.25395,1709568630.26151,1709568630.26167,1709568630.26837,1709568630.26912,1709568630.26949,1709568630.36905,1709568630.58444
"x215",18699,1709568629.77202,1709568629.77238,1709568629.8609,1709568629.86239,1709568629.8625,1709568629.86578,1709568629.86622,1709568629.86648,1709568629.8837,1709568630.11345
"x216",14299,1709568630.09684,1709568630.09713,1709568630.22012,1709568630.22246,1709568630.22261,1709568630.22584,1709568630.22642,1709568630.22679,1709568630.26511,1709568630.47554
"x217",12099,1709568630.42474,1709568630.42499,1709568630.51986,1709568630.52166,1709568630.52179,1709568630.52771,1709568630.52853,1709568630.52887,1709568630.54618,1709568630.79064
"x218",12699,1709568630.45081,1709568630.4509,1709568630.77227,1709568630.78855,1709568630.7887,1709568630.88162,1709568630.88324,1709568630.8835,1709568630.95658,1709568631.26937
"x219",18699,1709568631.07657,1709568631.07693,1709568631.32445,1709568631.32774,1709568631.32788,1709568631.33425,1709568631.335,1709568631.33533,1709568631.38393,1709568631.60568
"x220",11999,1709568631.52316,1709568631.5234,1709568631.61996,1709568631.63799,1709568631.63815,1709568631.6435,1709568631.64431,1709568631.64466,1709568631.67015,1709568631.88394
"x221",10149,1709568632.22312,1709568632.22334,1709568632.27906,1709568632.28042,1709568632.28054,1709568632.28257,1709568632.28305,1709568632.28334,1709568632.31409,1709568632.5101
"x222",12099,1709568631.33319,1709568631.33345,1709568631.46871,1709568631.47102,1709568631.47116,1709568631.47852,1709568631.47945,1709568631.47976,1709568631.51965,1709568631.73573
"x223",10999,1709568631.39008,1709568631.39032,1709568631.44884,1709568631.45002,1709568631.45012,1709568631.45339,1709568631.45382,1709568631.4541,1709568631.47659,1709568631.71373
"x224",14299,1709568631.46564,1709568631.46592,1709568631.58444,1709568631.58649,1709568631.58664,1709568631.59123,1709568631.59203,1709568631.59226,1709568631.61702,1709568631.84027
"x225",10999,1709568631.62636,1709568631.62658,1709568631.70004,1709568631.7012,1709568631.70136,1709568631.70305,1709568631.70353,1709568631.70375,1709568631.72176,1709568631.95487
"x226",10999,1709568632.68882,1709568632.68907,1709568632.75267,1709568632.7538,1709568632.7539,1709568632.75556,1709568632.75597,1709568632.75625,1709568632.76897,1709568632.95893
"x227",14299,1709568632.98669,1709568632.98698,1709568633.16066,1709568633.16323,1709568633.16336,1709568633.16888,1709568633.16976,1709568633.17009,1709568633.19928,1709568633.41784
"x228",11649,1709568633.86469,1709568633.86494,1709568633.96076,1709568633.96246,1709568633.9626,1709568633.96469,1709568633.96508,1709568633.96531,1709568633.98276,1709568634.18625
"x229",16499,1709568633.15756,1709568633.15789,1709568633.30141,1709568633.30345,1709568633.30358,1709568633.3081,1709568633.30877,1709568633.3091,1709568633.33406,1709568633.55006
"x230",35499,1709568633.3981,1709568633.39819,1709568635.69744,1709568635.77158,1709568635.77172,1709568636.14805,1709568636.15017,1709568636.15055,1709568636.35133,1709568636.57053
"x231",23527,1709568633.42937,1709568633.42949,1709568633.8535,1709568633.87135,1709568633.87151,1709568634.04803,1709568634.04926,1709568634.04957,1709568634.13822,1709568634.37743
"x232",20299,1709568511.35002,1709568511.35011,1709568512.79836,1709568512.87145,1709568512.87159,1709568513.02883,1709568513.02971,1709568513.03007,1709568513.18567,1709568513.5945
"x233",15399,1709568511.39954,1709568511.39974,1709568511.49554,1709568511.49691,1709568511.49706,1709568511.50066,1709568511.50127,1709568511.50153,1709568511.52043,1709568511.71587
"x234",10999,1709568511.48543,1709568511.48568,1709568511.54371,1709568511.54479,1709568511.54493,1709568511.54666,1709568511.54723,1709568511.54749,1709568511.56054,1709568511.77711
"x235",10999,1709568511.52109,1709568511.52134,1709568511.61773,1709568511.61928,1709568511.61938,1709568511.62265,1709568511.62318,1709568511.62341,1709568511.65426,1709568511.87979
"x236",13199,1709568511.71774,1709568511.71799,1709568511.88722,1709568511.88901,1709568511.88912,1709568511.89614,1709568511.89675,1709568511.89698,1709568511.93419,1709568512.14269
"x237",14299,1709568512.02207,1709568512.02233,1709568512.10627,1709568512.10797,1709568512.1081,1709568512.11118,1709568512.11178,1709568512.11203,1709568512.13115,1709568512.35299
"x238",12099,1709568512.21618,1709568512.21643,1709568512.38846,1709568512.39011,1709568512.39023,1709568512.39314,1709568512.39371,1709568512.39406,1709568512.43501,1709568512.65039
"x239",12099,1709568512.24752,1709568512.2476,1709568512.29557,1709568512.29963,1709568512.29976,1709568512.36343,1709568512.36407,1709568512.36438,1709568512.38861,1709568512.62842
"x240",10999,1709568513.61471,1709568513.61491,1709568513.70358,1709568513.70508,1709568513.70519,1709568513.70721,1709568513.70765,1709568513.70789,1709568513.72451,1709568513.94602
"x241",15399,1709568513.76567,1709568513.76593,1709568515.46002,1709568515.4811,1709568515.48125,1709568515.50711,1709568515.50831,1709568515.50864,1709568515.64855,1709568515.86448
"x242",14299,1709568513.83048,1709568513.83079,1709568513.93464,1709568513.93637,1709568513.93648,1709568513.9405,1709568513.94107,1709568513.94143,1709568513.96438,1709568514.16412
"x243",10999,1709568514.05564,1709568514.05579,1709568515.23245,1709568515.242,1709568515.24215,1709568515.24711,1709568515.24793,1709568515.24825,1709568515.36833,1709568515.58631
"x244",10999,1709568514.09722,1709568514.09744,1709568514.13426,1709568514.13502,1709568514.13513,1709568514.13691,1709568514.13749,1709568514.13773,1709568514.14657,1709568514.35774
"x245",10999,1709568514.52441,1709568514.52465,1709568514.61262,1709568514.61481,1709568514.61495,1709568514.61799,1709568514.61855,1709568514.61889,1709568514.64174,1709568514.87604
"x246",10999,1709568514.59625,1709568514.5964,1709568514.65594,1709568514.6573,1709568514.65744,1709568514.66059,1709568514.66119,1709568514.66154,1709568514.68492,1709568514.92217
"x247",10999,1709568514.593,1709568514.59324,1709568514.65885,1709568514.66017,1709568514.66027,1709568514.66385,1709568514.66437,1709568514.6647,1709568514.68383,1709568514.91957
"x248",15399,1709568514.79506,1709568514.79534,1709568515.21397,1709568515.21597,1709568515.21611,1709568515.21978,1709568515.22015,1709568515.22035,1709568515.24287,1709568515.47464
"x249",10699,1709568516.25196,1709568516.25218,1709568516.32041,1709568516.32188,1709568516.32201,1709568516.32598,1709568516.3267,1709568516.32702,1709568516.34428,1709568516.57275
"x250",14999,1709568515.1651,1709568515.16537,1709568515.34743,1709568515.3499,1709568515.35003,1709568515.3665,1709568515.36744,1709568515.36785,1709568515.39713,1709568515.62698
"x251",12099,1709568514.81031,1709568514.81057,1709568514.90828,1709568514.90945,1709568514.90955,1709568514.91168,1709568514.91212,1709568514.91235,1709568514.93048,1709568515.13776
"x252",10999,1709568515.60239,1709568515.60261,1709568515.62659,1709568515.62737,1709568515.62749,1709568515.62901,1709568515.62954,1709568515.6298,1709568515.63993,1709568515.84761
"x253",10999,1709568515.36665,1709568515.36688,1709568515.46873,1709568515.47063,1709568515.47077,1709568515.47816,1709568515.47888,1709568515.47924,1709568515.50013,1709568515.69099
"x254",15399,1709568515.81064,1709568515.81089,1709568515.9393,1709568515.94141,1709568515.94154,1709568515.94573,1709568515.94641,1709568515.94674,1709568515.97937,1709568516.17687
"x255",18699,1709568515.6296,1709568515.62986,1709568515.79161,1709568515.79361,1709568515.79375,1709568515.79827,1709568515.79881,1709568515.79903,1709568515.84015,1709568516.06872
"x256",10999,1709568516.30101,1709568516.30123,1709568516.35118,1709568516.35243,1709568516.35255,1709568516.35472,1709568516.35524,1709568516.35553,1709568516.37863,1709568516.59074
"x257",13199,1709568516.85933,1709568516.85957,1709568516.96801,1709568516.97008,1709568516.97021,1709568516.97656,1709568516.97719,1709568516.97753,1709568517.01177,1709568517.23634
"x258",14299,1709568518.51313,1709568518.51344,1709568518.62296,1709568518.62458,1709568518.62468,1709568518.62687,1709568518.62732,1709568518.62754,1709568518.66222,1709568518.87126
"x259",10999,1709568518.7232,1709568518.72345,1709568518.78688,1709568518.78855,1709568518.78868,1709568518.79245,1709568518.7931,1709568518.79344,1709568518.81017,1709568519.02542
"x260",10999,1709568518.98297,1709568518.98319,1709568519.06685,1709568519.06856,1709568519.06868,1709568519.07117,1709568519.07166,1709568519.07183,1709568519.09221,1709568519.29429
"x261",10999,1709568519.01827,1709568519.01851,1709568519.1189,1709568519.12052,1709568519.12066,1709568519.12435,1709568519.12499,1709568519.12537,1709568519.14642,1709568519.34274
"x262",10749,1709568520.00055,1709568520.00078,1709568520.23665,1709568520.24077,1709568520.24092,1709568520.24412,1709568520.24481,1709568520.24513,1709568520.2881,1709568520.52588
"x263",13199,1709568519.28536,1709568519.28548,1709568519.35856,1709568519.363,1709568519.36311,1709568519.44027,1709568519.44084,1709568519.4411,1709568519.47904,1709568519.68752
"x264",24549,1709568519.68804,1709568519.68816,1709568520.90147,1709568520.97222,1709568520.97238,1709568521.22908,1709568521.23053,1709568521.23087,1709568521.4024,1709568521.84439
"x265",12398,1709568633.62019,1709568633.62028,1709568633.72821,1709568633.73436,1709568633.7345,1709568633.82259,1709568633.82348,1709568633.82369,1709568633.86239,1709568634.11417
"x266",10999,1709568633.58139,1709568633.58147,1709568633.68923,1709568633.69482,1709568633.69496,1709568633.74471,1709568633.74614,1709568633.74638,1709568633.78026,1709568634.03783
"x267",26499,1709568634.25867,1709568634.25877,1709568634.43834,1709568634.45197,1709568634.45213,1709568634.69668,1709568634.69773,1709568634.69803,1709568634.77106,1709568635.0296
"x268",12699,1709568633.72733,1709568633.72742,1709568633.85551,1709568633.86205,1709568633.86219,1709568633.93395,1709568633.93479,1709568633.93508,1709568633.97296,1709568634.20925
"x269",24499,1709568633.7662,1709568633.7663,1709568634.83498,1709568634.89702,1709568634.89717,1709568635.10132,1709568635.10349,1709568635.10383,1709568635.2214,1709568635.4607
"x270",19799,1709568633.76968,1709568633.76978,1709568634.02675,1709568634.03442,1709568634.03456,1709568634.14615,1709568634.14811,1709568634.14847,1709568634.209,1709568634.4689
"x271",17746,1709568633.73084,1709568633.73093,1709568633.8945,1709568633.90173,1709568633.90187,1709568633.98957,1709568633.99091,1709568633.99122,1709568634.03471,1709568634.31413
"x272",10999,1709568633.71262,1709568633.71271,1709568633.89245,1709568633.89844,1709568633.89858,1709568633.9347,1709568633.93575,1709568633.93603,1709568634.00003,1709568634.26292
"x273",20999,1709568633.88074,1709568633.88086,1709568634.82894,1709568634.86161,1709568634.86176,1709568634.98092,1709568634.98265,1709568634.98288,1709568635.1113,1709568635.38227
"x274",34099,1709568634.52001,1709568634.52017,1709568636.04995,1709568636.14766,1709568636.14781,1709568636.47195,1709568636.47485,1709568636.47517,1709568636.61251,1709568636.78985
"x275",17599,1709568634.31929,1709568634.31941,1709568634.53227,1709568634.54088,1709568634.54104,1709568634.63645,1709568634.63808,1709568634.63844,1709568634.70205,1709568634.97874
"x276",16499,1709568634.42037,1709568634.42046,1709568634.68035,1709568634.68662,1709568634.68674,1709568634.75357,1709568634.75516,1709568634.75553,1709568634.81905,1709568635.08244
"x277",19802,1709568634.49768,1709568634.49778,1709568634.69046,1709568634.7002,1709568634.70035,1709568634.84167,1709568634.84372,1709568634.84407,1709568634.9021,1709568635.15678
"x278",21999,1709568634.5463,1709568634.54641,1709568634.73488,1709568634.7472,1709568634.74735,1709568634.91114,1709568634.912,1709568634.91219,1709568634.98025,1709568635.28061
"x279",18699,1709568634.54557,1709568634.54567,1709568634.77298,1709568634.78482,1709568634.78496,1709568634.91099,1709568634.91174,1709568634.91194,1709568634.96525,1709568635.27449
"x280",11699,1709568635.05442,1709568635.0547,1709568635.14966,1709568635.15141,1709568635.15154,1709568635.15837,1709568635.15914,1709568635.15952,1709568635.17942,1709568635.42574
"x281",21999,1709568634.64291,1709568634.643,1709568634.8346,1709568634.85394,1709568634.8541,1709568635.07478,1709568635.07582,1709568635.07606,1709568635.1328,1709568635.37937
"x282",14960,1709568634.62983,1709568634.62992,1709568634.81615,1709568634.82417,1709568634.8243,1709568634.93225,1709568634.93321,1709568634.9335,1709568634.97624,1709568635.23822
"x283",19799,1709568519.67405,1709568519.67413,1709568520.81459,1709568520.85439,1709568520.85452,1709568521.01976,1709568521.02065,1709568521.02102,1709568521.17701,1709568521.61713
"x284",13199,1709568519.818,1709568519.81828,1709568519.89949,1709568519.90069,1709568519.90079,1709568519.90495,1709568519.90576,1709568519.90612,1709568519.9254,1709568520.15997
"x285",16499,1709568519.98942,1709568519.98974,1709568520.10932,1709568520.1109,1709568520.11104,1709568520.11741,1709568520.11795,1709568520.11821,1709568520.15795,1709568520.37036
"x286",11949,1709568520.91047,1709568520.91059,1709568521.36764,1709568521.39047,1709568521.39063,1709568521.47544,1709568521.47618,1709568521.47641,1709568521.54785,1709568521.81858
"x287",23299,1709568521.21052,1709568521.21064,1709568521.29923,1709568521.31002,1709568521.31016,1709568521.5436,1709568521.54444,1709568521.54476,1709568521.58588,1709568521.83385
"x288",16499,1709568521.37072,1709568521.37104,1709568521.50234,1709568521.50405,1709568521.50415,1709568521.50956,1709568521.51013,1709568521.51047,1709568521.54166,1709568521.76163
"x289",10999,1709568521.61926,1709568521.61951,1709568521.66424,1709568521.66504,1709568521.66516,1709568521.6772,1709568521.67796,1709568521.67835,1709568521.6932,1709568521.92317
"x290",10999,1709568522.38803,1709568522.38824,1709568522.43702,1709568522.43819,1709568522.43833,1709568522.44013,1709568522.44064,1709568522.44087,1709568522.45297,1709568522.64613
"x291",10999,1709568522.49557,1709568522.49581,1709568522.59023,1709568522.59211,1709568522.59224,1709568522.6009,1709568522.60172,1709568522.60205,1709568522.62068,1709568522.83688
"x292",18699,1709568522.77168,1709568522.77194,1709568523.05103,1709568523.05415,1709568523.05429,1709568523.06359,1709568523.06445,1709568523.06475,1709568523.11437,1709568523.34166
"x293",10599,1709568522.93889,1709568522.93909,1709568522.99617,1709568522.99767,1709568522.99778,1709568523.00032,1709568523.00084,1709568523.00105,1709568523.02429,1709568523.25757
"x294",14299,1709568522.66904,1709568522.66933,1709568522.76091,1709568522.7623,1709568522.76244,1709568522.76663,1709568522.76723,1709568522.76752,1709568522.79706,1709568522.99957
"x295",15399,1709568522.70123,1709568522.70153,1709568522.77455,1709568522.78507,1709568522.78523,1709568522.78758,1709568522.78803,1709568522.78821,1709568522.80551,1709568523.03083
"x296",14299,1709568522.76714,1709568522.76738,1709568522.86629,1709568522.86808,1709568522.86822,1709568522.87516,1709568522.87596,1709568522.87628,1709568522.89577,1709568523.10446
"x297",10999,1709568523.40754,1709568523.40767,1709568523.49945,1709568523.50255,1709568523.50268,1709568523.52281,1709568523.5232,1709568523.52338,1709568523.55676,1709568523.816
"x298",10999,1709568523.57317,1709568523.57342,1709568523.64729,1709568523.64879,1709568523.64891,1709568523.6531,1709568523.65366,1709568523.65397,1709568523.67024,1709568523.89062
"x299",13199,1709568523.93501,1709568523.93519,1709568524.05015,1709568524.05239,1709568524.05252,1709568524.05831,1709568524.05905,1709568524.05939,1709568524.08429,1709568524.27781
"x300",13199,1709568524.00965,1709568524.00992,1709568524.13522,1709568524.13734,1709568524.13749,1709568524.1428,1709568524.14337,1709568524.1436,1709568524.18292,1709568524.40473
"x301",16699,1709568524.48246,1709568524.48267,1709568524.63106,1709568524.63852,1709568524.63868,1709568524.74314,1709568524.74384,1709568524.74417,1709568524.78135,1709568525.01171
"x302",17599,1709568524.59406,1709568524.59427,1709568524.76363,1709568524.766,1709568524.7661,1709568524.77765,1709568524.77852,1709568524.77888,1709568524.80682,1709568525.02369
"x303",17599,1709568524.63586,1709568524.63625,1709568524.82296,1709568524.82598,1709568524.82612,1709568524.83192,1709568524.83262,1709568524.83291,1709568524.87691,1709568525.06223
"x304",16499,1709568524.87099,1709568524.87137,1709568525.01082,1709568525.01276,1709568525.01289,1709568525.01802,1709568525.01864,1709568525.01888,1709568525.04077,1709568525.27557
"x305",13099,1709568525.06667,1709568525.06696,1709568525.1463,1709568525.14759,1709568525.1477,1709568525.14995,1709568525.15045,1709568525.15066,1709568525.16616,1709568525.37479
"x306",11099,1709568525.43235,1709568525.43258,1709568525.51629,1709568525.51815,1709568525.51829,1709568525.52281,1709568525.52344,1709568525.52378,1709568525.55874,1709568525.75865
"x307",15399,1709568525.49413,1709568525.49443,1709568525.66777,1709568525.66984,1709568525.66994,1709568525.67889,1709568525.6795,1709568525.67978,1709568525.70741,1709568525.95203
"x308",10999,1709568525.88547,1709568525.88571,1709568525.94084,1709568525.94236,1709568525.94249,1709568525.95608,1709568525.95691,1709568525.95743,1709568525.97455,1709568526.18556
"x309",12099,1709568525.94619,1709568525.94637,1709568526.03321,1709568526.03515,1709568526.03528,1709568526.04164,1709568526.04241,1709568526.04274,1709568526.05992,1709568526.29386
"x310",12949,1709568527.72868,1709568527.72895,1709568527.81468,1709568527.81642,1709568527.81657,1709568527.82145,1709568527.82216,1709568527.82252,1709568527.83997,1709568528.05617
"x311",13199,1709568527.74615,1709568527.74643,1709568527.86368,1709568527.86583,1709568527.86597,1709568527.86956,1709568527.87016,1709568527.87053,1709568527.89558,1709568528.12122
"x312",15399,1709568528.30132,1709568528.30164,1709568528.46732,1709568528.47024,1709568528.47038,1709568528.47611,1709568528.47654,1709568528.47676,1709568528.50587,1709568528.74948
"x313",12099,1709568528.47789,1709568528.47814,1709568528.56077,1709568528.56264,1709568528.56279,1709568528.5661,1709568528.56678,1709568528.56698,1709568528.58454,1709568528.79652
"x314",16499,1709568528.53205,1709568528.53226,1709568528.71518,1709568528.71802,1709568528.71817,1709568528.72931,1709568528.7302,1709568528.73056,1709568528.76744,1709568528.98463
"x315",12099,1709568528.52578,1709568528.52604,1709568528.60133,1709568528.6029,1709568528.60301,1709568528.60916,1709568528.60975,1709568528.61004,1709568528.62675,1709568528.85466
"x316",16499,1709568634.68398,1709568634.68407,1709568635.26941,1709568635.28055,1709568635.28069,1709568635.37519,1709568635.3757,1709568635.37583,1709568635.43404,1709568635.73844
"x317",10070,1709568634.56278,1709568634.56284,1709568634.74072,1709568634.7484,1709568634.74852,1709568634.79098,1709568634.79158,1709568634.7917,1709568634.83431,1709568635.15134
"x318",15249,1709568634.76366,1709568634.76374,1709568635.98557,1709568636.01428,1709568636.01439,1709568636.10849,1709568636.10919,1709568636.10955,1709568636.26818,1709568636.6236
