"","rep_no","time1","time2","time3","time4","time5","time6","assembly","i"
"30","850","1709568349.43355","1709568349.48474","1709568349.49472","1709568349.50213","1709568349.80249","1709568349.81536","CEN12345.fasta","166"
"31","370","1709568349.49631","1709568349.56144","1709568349.56665","1709568349.57034","1709568349.86861","1709568349.87514","CEN12345.fasta","167"
"32","801","1709568349.49773","1709568349.56929","1709568349.57825","1709568349.58421","1709568349.91845","1709568349.93333","CEN12345.fasta","168"
"33","50","1709568349.53664","1709568349.60156","1709568349.6035","1709568349.60434","1709568349.91088","1709568349.91422","CEN12345.fasta","169"
"34","607","1709568347.01096","1709568347.78895","1709568347.79167","1709568347.79489","1709568348.38732","1709568348.55295","CEN12345.fasta","17"
"35","68","1709568349.59026","1709568349.64014","1709568349.64152","1709568349.64246","1709568349.96544","1709568349.96948","CEN12345.fasta","170"
"36","84","1709568349.59082","1709568349.64442","1709568349.64605","1709568349.64725","1709568349.96416","1709568349.96841","CEN12345.fasta","171"
"37","102","1709568349.59127","1709568349.63442","1709568349.63638","1709568349.63744","1709568349.93098","1709568349.93701","CEN12345.fasta","172"
"38","36","1709568349.59169","1709568349.65179","1709568349.65339","1709568349.6541","1709568349.96696","1709568349.97066","CEN12345.fasta","173"
"39","137","1709568349.5921","1709568349.66157","1709568349.6637","1709568349.66555","1709568349.98545","1709568349.99127","CEN12345.fasta","174"
"40","139","1709568349.59883","1709568349.64266","1709568349.64475","1709568349.64628","1709568349.95209","1709568349.95794","CEN12345.fasta","175"
"41","101","1709568349.6071","1709568349.65076","1709568349.65246","1709568349.65379","1709568349.94639","1709568349.95064","CEN12345.fasta","176"
"42","42","1709568349.60763","1709568349.65938","1709568349.66137","1709568349.66215","1709568349.97066","1709568349.97459","CEN12345.fasta","177"
"43","1714","1709568349.62546","1709568349.69222","1709568349.7038","1709568349.71371","1709568350.01688","1709568350.04279","CEN12345.fasta","178"
"44","19","1709568349.64106","1709568349.68198","1709568349.68283","1709568349.6834","1709568349.98321","1709568349.98368","CEN12345.fasta","179"
"45","35","1709568349.64911","1709568349.69872","1709568349.69989","1709568349.70068","1709568350.00654","1709568350.00715","CEN12345.fasta","180"
"46","436","1709568347.01111","1709568347.56362","1709568347.56403","1709568347.56542","1709568348.19393","1709568348.31382","CEN12345.fasta","19"
"47","503","1709568349.97127","1709568350.71404","1709568350.71485","1709568350.71674","1709568351.07581","1709568351.22061","CEN12345.fasta","197"
"48","12","1709568349.98426","1709568350.12165","1709568350.2402","1709568350.28698","1709568350.61129","1709568350.61855","CEN12345.fasta","198"
"49","3482","1709568347.01118","1709568349.44035","1709568349.44788","1709568349.46042","1709568349.77411","1709568350.67314","CEN12345.fasta","20"
"50","1857","1709568347.01129","1709568349.29704","1709568349.30283","1709568349.31558","1709568349.65835","1709568350.16986","CEN12345.fasta","21"
"51","926","1709568347.01138","1709568348.20973","1709568348.21449","1709568348.21752","1709568348.70252","1709568348.94808","CEN12345.fasta","22"
"52","11","1709568350.41105","1709568350.43828","1709568350.43887","1709568350.43946","1709568350.71895","1709568350.72205","CEN12345.fasta","228"
"53","4598","1709568347.01142","1709568350.30201","1709568350.31041","1709568350.32681","1709568350.60572","1709568351.86004","CEN12345.fasta","23"
"54","11","1709568350.49774","1709568350.60837","1709568350.76036","1709568350.82786","1709568351.17648","1709568351.18108","CEN12345.fasta","232"
"55","15","1709568347.01147","1709568347.14371","1709568347.14409","1709568347.14437","1709568347.51164","1709568347.51798","CEN12345.fasta","24"
"56","12","1709568350.54681","1709568350.60619","1709568350.60732","1709568350.60782","1709568350.9658","1709568350.96927","CEN12345.fasta","241"
"57","15","1709568347.01151","1709568347.1377","1709568347.13817","1709568347.13854","1709568347.48193","1709568347.48983","CEN12345.fasta","25"
"58","22","1709568350.66459","1709568350.72192","1709568350.72312","1709568350.72382","1709568351.02309","1709568351.02361","CEN12345.fasta","252"
"59","17","1709568347.01161","1709568347.13965","1709568347.14013","1709568347.14052","1709568347.48605","1709568347.49284","CEN12345.fasta","26"
"60","29","1709568347.01165","1709568347.17187","1709568347.17238","1709568347.17288","1709568347.50912","1709568347.51913","CEN12345.fasta","27"
"61","30","1709568347.01177","1709568347.17071","1709568347.17115","1709568347.17156","1709568347.55902","1709568347.57716","CEN12345.fasta","29"
"62","25","1709568347.00993","1709568347.17267","1709568347.17412","1709568347.17449","1709568347.50166","1709568347.50778","CEN12345.fasta","3"
"63","14","1709568347.01183","1709568347.12576","1709568347.1263","1709568347.1268","1709568347.47042","1709568347.4759","CEN12345.fasta","30"
"64","30","1709568351.19229","1709568351.23112","1709568351.23271","1709568351.23321","1709568351.57927","1709568351.58336","CEN12345.fasta","302"
"65","17","1709568351.21315","1709568351.26685","1709568351.26771","1709568351.26835","1709568351.64531","1709568351.64933","CEN12345.fasta","303"
"66","376","1709568351.37314","1709568355.29447","1709568355.29745","1709568355.29944","1709568355.95219","1709568357.50976","CEN12345.fasta","318"
"67","60","1709568351.38185","1709568352.27541","1709568352.27791","1709568352.27849","1709568352.84456","1709568353.02334","CEN12345.fasta","319"
"68","46","1709568347.01195","1709568347.18013","1709568347.18201","1709568347.18268","1709568347.53785","1709568347.55013","CEN12345.fasta","32"
"69","20","1709568351.38137","1709568351.65238","1709568351.65309","1709568351.65359","1709568352.13415","1709568352.19971","CEN12345.fasta","320"
"70","1058","1709568351.38607","1709568356.70142","1709568356.70478","1709568356.70755","1709568357.12246","1709568359.23002","CEN12345.fasta","321"
"71","1401","1709568351.3884","1709568359.63787","1709568359.63936","1709568359.64187","1709568359.91026","1709568361.39583","CEN12345.fasta","322"
"72","424","1709568351.43893","1709568351.84476","1709568351.85029","1709568351.85223","1709568352.44539","1709568352.48447","CEN12345.fasta","328"
"73","33","1709568351.48104","1709568351.54749","1709568351.55031","1709568351.55136","1709568351.86645","1709568351.86959","CEN12345.fasta","329"
"74","23","1709568347.012","1709568347.15751","1709568347.158","1709568347.15845","1709568347.65171","1709568347.66141","CEN12345.fasta","33"
"75","16","1709568351.48857","1709568351.5379","1709568351.53981","1709568351.54028","1709568351.8696","1709568351.87146","CEN12345.fasta","330"
"76","97","1709568351.49213","1709568351.59207","1709568351.5954","1709568351.59614","1709568351.92243","1709568351.93136","CEN12345.fasta","331"
"77","18","1709568351.5555","1709568351.61065","1709568351.61247","1709568351.61309","1709568351.96446","1709568351.96666","CEN12345.fasta","332"
"78","1796","1709568347.01207","1709568348.69184","1709568348.69639","1709568348.70511","1709568349.13158","1709568349.59251","CEN12345.fasta","34"
"79","6633","1709568347.01211","1709568351.60436","1709568351.6221","1709568351.65801","1709568352.0199","1709568353.71656","CEN12345.fasta","35"
"80","106","1709568347.01215","1709568347.25745","1709568347.25954","1709568347.2604","1709568347.65615","1709568347.67724","CEN12345.fasta","36"
"81","13","1709568347.01219","1709568347.1471","1709568347.14772","1709568347.14825","1709568347.47541","1709568347.47946","CEN12345.fasta","37"
"82","16","1709568351.88557","1709568352.20895","1709568352.21127","1709568352.21187","1709568352.74372","1709568352.78075","CEN12345.fasta","370"
"83","210","1709568351.93939","1709568355.71931","1709568355.72967","1709568355.73204","1709568356.54428","1709568356.95035","CEN12345.fasta","371"
"84","16","1709568351.97617","1709568352.35023","1709568352.35324","1709568352.35397","1709568352.976","1709568353.05062","CEN12345.fasta","372"
"85","784","1709568351.97761","1709568361.47117","1709568361.49006","1709568361.49529","1709568361.7721","1709568362.59633","CEN12345.fasta","373"
"86","79","1709568351.98866","1709568352.91371","1709568352.92072","1709568352.92163","1709568353.4229","1709568353.50593","CEN12345.fasta","374"
"87","83","1709568347.0123","1709568347.24927","1709568347.24981","1709568347.25053","1709568347.63093","1709568347.65258","CEN12345.fasta","38"
"88","1406","1709568347.01238","1709568348.56288","1709568348.56705","1709568348.57351","1709568349.02381","1709568349.40199","CEN12345.fasta","39"
"89","19","1709568347.01001","1709568347.17781","1709568347.17919","1709568347.1796","1709568347.48128","1709568347.48616","CEN12345.fasta","4"
"90","259","1709568347.01241","1709568347.39768","1709568347.39998","1709568347.40176","1709568347.94497","1709568348.01266","CEN12345.fasta","40"
"91","2659","1709568347.0125","1709568348.8678","1709568348.87469","1709568348.88533","1709568349.28159","1709568349.97986","CEN12345.fasta","41"
